text,label
Whats the high for the next 3 days? ,find
Snooze the alarm for 20 mins.,snooze alarm
what is the temperature high and low for today,find
Remind me to look for a dress for the wedding on Friday,set reminder
Set alarm to go off every 30 seconds for 20 minutes,set alarm
Remind me to get dog food at 4:30 pm,set reminder
How windy is it in West Virginia?,find
remind me to buy milk,set reminder
Remind me to buy a new basketball hoop for Jimmy,set reminder
Set alarm every 3 minutes for 20 minutes.,set alarm
delete my alarms please,cancel alarm
whats the temperature in mexico city right now,find
How many inches of rain are expected in Scranton on Saturday,find
what's the rain forecast for seattle?,find
Do I need to bring an umbrella later on?,find
Remind me to get gas,set reminder
Remind me that school starts next week this weekend,set reminder
set alarm to 10pm,set alarm
might it flood today,find
remind me to take josie to dentist at 4pm,set reminder
is tuesday to be sunny,find
Remind me to feed my dog at 5,set reminder
What's the weather look like today?,find
Set an alarm for the 16th at 1 a.m.,set alarm
What is the weather report?,find
can we go to the beach this weekend,find
remind me in last 2 mins,set reminder
Is it going to rain in Hendersonville on Friday?,find
Remind me to buy flowers when I leave work,set reminder
Is it going to snow on Friday,find
Is it going to snow today?,find
i need you to remind me my aunt birthday,set reminder
i want the alarm to go off in 10 minutes,set alarm
Remind me to call mom,set reminder
delete my two most recent reminders,cancel reminder
Should I wear shorts tomorrow?,find
Is Miami getting rain today?,find
Change alarm setting to 5am.,modify alarm
How much time is left until my alarm rings?,time left on alarm
Will my flight be delayed due to the weather in New York?,find
i want to be reminded to complete the build,set reminder
set an alarm for 8AM tomorrow please,set alarm
should I wear a light sweater?,find
set an alarm every minute for 10 minutes,set alarm
Will it be raining today,find
When is my next alarm for,show alarms
is it going to be hot today,find
"Temperature right now,",find
Is there rain in the forecast for today?,find
when are the storms supposed to start ,find
Set alarm for 8 am tomorrow,set alarm
cancel oven alarm,cancel alarm
when is my alarm going to go off,show alarms
Is it going to be above 80 in degree fahrenheit in Dehli tomorrow,find
Set alarm for 7pm Saturday,set alarm
Set a reminder for Sean's birthday on April 4th.,set reminder
Set reminder to buy condoms for party tonight,set reminder
Cancel the time left on alarm.,cancel alarm
extended forecast for London,find
Is it going to rain today?,find
Cancel alarm ,cancel alarm
Will it be cold in Fremont on Thursday?,find
How Humid is new york in August?,find
What time is sunset on friday,checkSunset
snooze all the alarms,snooze alarm
remind me to buy eggs at Walmart,set reminder
What's the temperature high today?,find
Is it colder here than Alaska,find
remind me of my date at 6 pm tomorrow,set reminder
Set an alarm for 45 minutes to wake me from my nap,set alarm
set my alarm for 6am every Tuesday ,set alarm
Temperature for Beijing tomorrow morning Fahrenheit,find
set alarm for 6:30 AM every weekday,set alarm
Can i expect a moderate weather?,find
Clear all reminders for this weekend,cancel reminder
set alarm for 7 am,set alarm
Remind me to watch my tv show tonight,set reminder
set an alarm every 5 minutes for 30 minutes,set alarm
what is the temperature right now?,find
remind me to get my pants tailored,set reminder
Please remind me to get cat food while I'm out,set reminder
cancel grocery store reminder,cancel reminder
Will I see the sun today,find
When is the storm expected to reach me?,find
is it going to be cloudy tomorrow,find
set an alarm every 3 hours,set alarm
Sound alarm for 45 seconds,cancel alarm
Set reminder to put the roast in the oven,set reminder
set a recurring alarm for 7 am please,set alarm
How hot will it be tomorrow?,find
Snooze all alarms.,snooze alarm
What time does the sun come up tomorrow,checkSunrise
Is it windy today?,find
Is is supposed to rain on the 24th?,find
remind me of when I need to leave for my flight on Friday,show reminders
what is the weather like tomorrow,find
Set an alarm every ten minutes ,set alarm
What are the chances of sun?,find
Show my Reminders every 30 minutes until I swipe them as done,show reminders
set alarm 5pm,set alarm
What are the chances of rain for this week?,find
set alarm every 2 minutes for 10 minutes,set alarm
please show me all alarms,show alarms
Remind me to buy tampons,set reminder
delete alarm for 8:55 PM tonight,cancel alarm
Is it going to be sunny next week?,find
Place a reminder to finish writing my paper.,set reminder
How much rain is expected today?,find
What is the high for tomorrow in Las Vegas?,find
Bring up list of all alarms,show alarms
what is the weather like in Africa?,find
how many days this month have been over 90 degrees,find
add a reminder to schedule dentist appointment,set reminder
Will it rain,find
change my 5am alarm to 6am please,modify alarm
change my 7oclock alarm to six thirty,modify alarm
delete all reminders,cancel reminder
Will it be above 93 in Fahrenheit around Dehli tomorrow,find
My alarms,show alarms
Whats the weather for NYC today?,find
set alarm for 6am everyday of the week,set alarm
What is the weather like today?,find
Remind me to get my car washed tonight,set reminder
Weather please.,find
How hot is it in Manila tomorrow in fahrenheit,find
remind me to set a timer,set reminder
is it going to rain tonight,find
set an alarm for every minute from 9:30 to 10,set alarm
how long will this storm last ,find
Is it shorts or pants weather in Philadelphia right now? ,find
create an alarm at noon,set alarm
When does the sun set today?,checkSunset
what is the weather like this weekend?,find
Will is snow the rest of this week,find
Is there a cold front coming,find
How hot is it supposed to get today?,find
Set an alarm for tomorrow at 7am ,set alarm
