text,label
Whats the high for the next 3 days? ,weather
Snooze the alarm for 20 mins.,alarm
what is the temperature high and low for today,weather
Remind me to look for a dress for the wedding on Friday,reminder
Set alarm to go off every 30 seconds for 20 minutes,alarm
Remind me to get dog food at 4:30 pm,reminder
How windy is it in West Virginia?,weather
remind me to buy milk,reminder
Remind me to buy a new basketball hoop for Jimmy,reminder
Set alarm every 3 minutes for 20 minutes.,alarm
delete my alarms please,alarm
whats the temperature in mexico city right now,weather
How many inches of rain are expected in Scranton on Saturday,weather
what's the rain forecast for seattle?,weather
Do I need to bring an umbrella later on?,weather
Remind me to get gas,reminder
Remind me that school starts next week this weekend,reminder
set alarm to 10pm,alarm
might it flood today,weather
remind me to take josie to dentist at 4pm,reminder
is tuesday to be sunny,weather
Remind me to feed my dog at 5,reminder
What's the weather look like today?,weather
Set an alarm for the 16th at 1 a.m.,alarm
What is the weather report?,weather
can we go to the beach this weekend,weather
remind me in last 2 mins,reminder
Is it going to rain in Hendersonville on Friday?,weather
Remind me to buy flowers when I leave work,reminder
Is it going to snow on Friday,weather
Is it going to snow today?,weather
i need you to remind me my aunt birthday,reminder
i want the alarm to go off in 10 minutes,alarm
Remind me to call mom,reminder
delete my two most recent reminders,reminder
Should I wear shorts tomorrow?,weather
Is Miami getting rain today?,weather
Change alarm setting to 5am.,alarm
How much time is left until my alarm rings?,alarm
Will my flight be delayed due to the weather in New York?,weather
i want to be reminded to complete the build,reminder
set an alarm for 8AM tomorrow please,alarm
should I wear a light sweater?,weather
set an alarm every minute for 10 minutes,alarm
Will it be raining today,weather
When is my next alarm for,alarm
is it going to be hot today,weather
"Temperature right now,",weather
Is there rain in the forecast for today?,weather
when are the storms supposed to start ,weather
Set alarm for 8 am tomorrow,alarm
cancel oven alarm,alarm
when is my alarm going to go off,alarm
Is it going to be above 80 in degree fahrenheit in Dehli tomorrow,weather
Set alarm for 7pm Saturday,alarm
Set a reminder for Sean's birthday on April 4th.,reminder
Set reminder to buy condoms for party tonight,reminder
Cancel the time left on alarm.,alarm
extended forecast for London,weather
Is it going to rain today?,weather
Cancel alarm ,alarm
Will it be cold in Fremont on Thursday?,weather
How Humid is new york in August?,weather
What time is sunset on friday,weather
snooze all the alarms,alarm
remind me to buy eggs at Walmart,reminder
What's the temperature high today?,weather
Is it colder here than Alaska,weather
remind me of my date at 6 pm tomorrow,reminder
Set an alarm for 45 minutes to wake me from my nap,alarm
